iter	MultiClass
0	1.047520146
1	0.9950293035
2	0.943671709
3	0.9037517067
4	0.8630261869
5	0.8208604487
6	0.7852521242
7	0.7611118455
8	0.73783161
9	0.7117032119
10	0.6881809948
11	0.6689023332
12	0.6521011706
13	0.6352492878
14	0.6151137921
15	0.6017066836
16	0.5870580846
17	0.5707271025
18	0.5523186371
19	0.5397827375
20	0.5310157836
21	0.5148520693
22	0.505005399
23	0.4916784007
24	0.4826310874
25	0.4699849419
26	0.4623868479
27	0.454740374
28	0.4468410713
29	0.4379327427
30	0.4317376801
31	0.4241269825
32	0.4177439887
33	0.4123668997
34	0.408257063
35	0.4037500511
36	0.3989420662
37	0.3938634827
38	0.3897248032
39	0.384947902
40	0.3803615615
41	0.3747515185
42	0.3701930167
43	0.3644099342
44	0.3597784652
45	0.3576688193
46	0.3546883974
47	0.3513503325
48	0.3469819139
49	0.3435284959
50	0.3398799654
51	0.3379196773
52	0.3361305815
53	0.3345228359
54	0.3301685661
55	0.3280769504
56	0.3262988861
57	0.3241639272
58	0.3226516952
59	0.3199046634
60	0.3173063256
61	0.3152872554
62	0.3136877959
63	0.3109586383
64	0.3091910447
65	0.3068393401
66	0.3040875711
67	0.3021769518
68	0.2993371542
69	0.2971709217
70	0.294801767
71	0.2931329399
72	0.2909782577
73	0.2889741032
74	0.2875710721
75	0.2861693175
76	0.2840531528
77	0.2825420816
78	0.2809706178
79	0.2796166821
80	0.2784122567
81	0.2762870883
82	0.2742508438
83	0.2728011086
84	0.2703137143
85	0.2690407438
86	0.2674911789
87	0.2652523058
88	0.2644376679
89	0.2635002773
90	0.2624069756
91	0.2606750039
92	0.2590336135
93	0.2584214117
94	0.2569724735
95	0.2558113379
96	0.2537160452
97	0.2526226965
98	0.2514298021
99	0.2500458293
100	0.2488187681
101	0.2476213003
102	0.2467979392
103	0.2451433018
104	0.2442239418
105	0.241984756
106	0.2407547388
107	0.2388980278
108	0.2374258787
109	0.2364375905
110	0.2354669052
111	0.2343395361
112	0.2329117092
113	0.2311271878
114	0.2298619185
115	0.2287768427
116	0.2280187284
117	0.227064878
118	0.2260482043
119	0.2245780825
120	0.2235992496
121	0.2225945606
122	0.2214958924
123	0.2205265199
124	0.2196230484
125	0.2183259053
126	0.2174621706
127	0.2164730968
128	0.215242815
129	0.2144881016
130	0.2134094173
131	0.2122800738
132	0.2112071056
133	0.2105666564
134	0.2088161339
135	0.2081463766
136	0.2069731759
137	0.2063802964
138	0.2057106595
139	0.2048987076
140	0.2042297568
141	0.2031587605
142	0.202051683
143	0.2012656004
144	0.2005790635
145	0.1995825074
146	0.1987956591
147	0.197884057
148	0.1971349835
149	0.1965594509
150	0.1957835211
151	0.1951771097
152	0.1945352136
153	0.193632991
154	0.1928549456
155	0.1923839434
156	0.1915433004
157	0.1909165538
158	0.1899310053
159	0.1888461899
160	0.1882195467
161	0.1873685821
162	0.1864933247
163	0.1855061264
164	0.1846917032
165	0.1840755896
166	0.1833473479
167	0.182436491
168	0.1817390598
169	0.1811683143
170	0.1803828842
171	0.179647954
172	0.178418759
173	0.177893966
174	0.1773293879
175	0.1765617443
176	0.1758445393
177	0.1749176456
178	0.1742729602
179	0.1737567833
180	0.1729866862
181	0.1725490135
182	0.1719211448
183	0.1711432024
184	0.1704057567
185	0.1695519653
186	0.1687693602
187	0.1683180127
188	0.1676469741
189	0.1668607978
190	0.1663243889
191	0.1656518658
192	0.1646833161
193	0.1639860722
194	0.1634034801
195	0.162784756
196	0.1624041531
197	0.161864812
198	0.1611024816
199	0.1602552518
200	0.1595690887
201	0.1590111666
202	0.1584448802
203	0.1580034933
204	0.1573626985
205	0.156827011
206	0.1562436736
207	0.1555572961
208	0.1549060738
209	0.153709997
210	0.1532538946
211	0.1528977491
212	0.1526201651
213	0.1522496451
214	0.1517882837
215	0.1512003746
216	0.1507164904
217	0.1501049183
218	0.1496215559
219	0.1488766784
220	0.1483767178
221	0.1481581664
222	0.1475187406
223	0.146997072
224	0.1464945076
225	0.1460803399
226	0.1455334228
227	0.1452148146
228	0.1446140683
229	0.1441264763
230	0.1437047921
231	0.1431798372
232	0.1425499356
233	0.1418212293
234	0.1415243208
235	0.1410177928
236	0.1404490138
237	0.1401483619
238	0.1395809252
239	0.1389818157
240	0.1386638406
241	0.1382978463
242	0.1378562979
243	0.137276826
244	0.1367904134
245	0.1362914987
246	0.1359006116
247	0.1355004424
248	0.1349931347
249	0.13480002
250	0.1344369078
251	0.1338989614
252	0.1335748482
253	0.1331729961
254	0.1327799329
255	0.1324513508
256	0.1320183339
257	0.1316144715
258	0.1311098478
259	0.1306349791
260	0.1302794415
261	0.1296852516
262	0.1291763587
263	0.1288948173
264	0.1281927537
265	0.1278368631
266	0.127590516
267	0.1271072913
268	0.126728951
269	0.1263521722
270	0.1258979418
271	0.1255940911
272	0.1253818175
273	0.1248790639
274	0.1245866523
275	0.1241220368
276	0.1237812256
277	0.1233548237
278	0.1230972929
279	0.1226745903
280	0.122398509
281	0.1219374468
282	0.1216517111
283	0.1213252819
284	0.1208634078
285	0.1205799905
286	0.1201008704
287	0.1198901164
288	0.1194511934
289	0.1190522217
290	0.1186214677
291	0.118328496
292	0.1180300115
293	0.1176104082
294	0.1173382352
295	0.1169619969
296	0.1167158951
297	0.1164529529
298	0.1161556393
299	0.1157216086
